Cafe names,copy pasted,Latitude,Longitude,Image URL,Café URL,Reviews Count
Ascension Coffee - Design District,Ascension Coffee - Design District,32.7970313,-96.8199752,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1m3Cn1rRRq-7mKp7lM6f_3o9DapyUiLHNwgVdmxi78B5ATk4AJDI2Hir4dkULRufCPeWlCBXFnkOk8o_sUwttUHF0DSTlNHsyo4mU-IRAVkQl1geFjYYjsyTIc8JkXuVBV6GTEQ=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Ascension%20Coffee%20-%20Design%20District&query_place_id=ChIJGU7NvE6ZToYRF34eTBS3sPE,2350
Beans and Bubbles | Best Coffee Cafe in Frisco | Boba Teas & Fruit Teas,Beans and Bubbles | Best Coffee Cafe in Frisco | Boba Teas & Fruit Teas,33.1334339,-96.8675303,https://lh3.googleusercontent.com/p/AF1QipOTGEqAAEK89wFMTRqxSMnoGVLkyr1nj5qdhkyw=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Beans%20and%20Bubbles%20%7C%20Best%20Coffee%20Cafe%20in%20Frisco%20%7C%20Boba%20Teas%20%26%20Fruit%20Teas&query_place_id=ChIJd4xSDMA7TIYRqsOQIK08RoQ,40
Beeso Coffee at Green Vine,Beeso Coffee at Green Vine,33.0243605,-96.6977533,https://lh3.googleusercontent.com/p/AF1QipNmG48URV4VNeqLIkE3NBK8pMHXHd0eyuXUtt7V=w408-h580-k-no,https://www.google.com/maps/search/?api=1&query=Beeso%20Coffee%20at%20Green%20Vine&query_place_id=ChIJh5iCWQAZTIYRPIvB8SZ5ttE,15
BeKinder Coffee,BeKinder Coffee,32.8644742,-96.76698,https://lh3.googleusercontent.com/p/AF1QipPF-DQxvALnTW0iZbGnSF2nafR2pZKbNKNPYJ1x=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=BeKinder%20Coffee&query_place_id=ChIJ44CcIQ2fToYRJ2nqnDDHt2E,51
Black Rifle Coffee Company,Black Rifle Coffee Company,33.0120005,-96.7092874,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrcV475PZdzz_75nl8h767I1SS_WPEUGExD-tqlZ1OLdSB0l6_VIFTwDgXg14QQUfI7TvLUu3ERlWdF0FpHWa04UXhL4bE_TvQjXIMJaNZzmrhhbwp1nS5ZuozcmjF9QWY_cadB=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Black%20Rifle%20Coffee%20Company&query_place_id=ChIJY6g9r0gZTIYRjEUgI1g-G_4,600
Black Sheep Coffee,Black Sheep Coffee,33.0190783,-96.7958827,https://lh3.googleusercontent.com/p/AF1QipOXm1BeQZz4WIZW5KyXosMfVT2B6GpBWe48d34n=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Black%20Sheep%20Coffee&query_place_id=ChIJ4y46lq0jTIYRlk5kwQVU7T0,328
Bloom Cafe,Bloom Cafe,32.975785,-96.654954,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npd-pAk7r3XrMKgts_EDG6-_IBPdXVVVfIOYDtIS1JFesCsxFNYMFeQ44PuxTrMujsfVam4NwU0_Ujh3buVuW_egLz7s9TGeUT_vNYPzD4Kv3S_gJnUqCSoX1286HdnwSGicnW2=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Bloom%20Cafe&query_place_id=ChIJkXkmHbQdTIYRc_LhQ2e5nts,453
Buzz and Bustle Coffee & Bodega - The Village Dallas,Buzz and Bustle Coffee & Bodega - The Village Dallas,32.8593228,-96.7639186,https://lh3.googleusercontent.com/p/AF1QipMHVfmq48FlmfkPNk7XvHJHZCliUy4KEUcfKwIY=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Buzz%20and%20Bustle%20Coffee%20%26%20Bodega%20-%20The%20Village%20Dallas&query_place_id=ChIJ3cbvSx2fToYRBZcBozYwVM4,256
Cafe Bohemia,Cafe Bohemia,33.0326943,-96.6471276,https://lh3.googleusercontent.com/p/AF1QipOkFDV2MDy4Q5k0dNGfHvwnQg3YaIyBVIm9WEuJ=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Cafe%20Bohemia&query_place_id=ChIJ35IX6csbTIYRmwrEMa8_lfg,110
Cafe Brazil - Richardson,Cafe Brazil - Richardson,32.9778873,-96.7158923,https://lh3.googleusercontent.com/p/AF1QipNMk1O74BZKvPYo20t8RWPAowqIbE5TrVGcOBWd=w408-h305-k-no,https://www.google.com/maps/search/?api=1&query=Cafe%20Brazil%20-%20Richardson&query_place_id=ChIJbc8Kji8fTIYRUjyj0XmwnbM,3188
Cafe Duro,Cafe Duro,32.8232311,-96.770034,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrxK8DKDuV4VO0g4bcoLJBcEqd6S62UUoqfBqHEPDYbeVXcJkLx9rAY7T5lkJvuWQSlMeewiie_u3S5Jd2CjEzd8A8uzgssuM8y-7RKtBxfhA25iQC3o33M42Md7nisxH_i7YFQS1xEyW_-=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Cafe%20Duro&query_place_id=ChIJ2bPBgZufToYR3SpM2wPl6lM,191
Cafe Frida- Coffee & Pastries,Cafe Frida- Coffee & Pastries,32.9166964,-96.6366288,https://lh3.googleusercontent.com/p/AF1QipPUrBG9Iz8igOV6U9vrvIziqBNHqrxr6abB7FJO=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Cafe%20Frida-%20Coffee%20%26%20Pastries&query_place_id=ChIJY5BzbOQdTIYRBqZhQoj7WEk,166
Cafe HwaSan,Cafe HwaSan,33.029661,-96.771247,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2y-0zf8OlzI_iK2AGSPnP1QYZK1SZbLvF3p2itYvIhq44zkVCL0aXV2SFNJnw8wZkPhhpFFPkeNoS-dTmD-8In4URrs_TZIaq-w=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Cafe%20HwaSan&query_place_id=ChIJD4o_iw8jTIYRJa1eLHcpM98,302
Civil Pour Coffee + Beer,Civil Pour Coffee + Beer,32.9601441,-96.7683876,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXdol0TeUN-Kj6XKwrJv4Ll9rIuwNAO1SxFzvgXWHWlPd0FVOckM6vsrgC9Y5obpfhAjQFVYKz-0Ln4Dcz5OxmTuLtSKNvZaW-pHX9xBthYEDMWVOj-khObk4VJZChX3S8aqy_qJ0kFoUi=w513-h240-k-no,https://www.google.com/maps/search/?api=1&query=Civil%20Pour%20Coffee%20%2B%20Beer&query_place_id=ChIJfSP9Rj0hTIYRDWzJsBapIag,66
Coffee Del Rey,Coffee Del Rey,33.02777,-96.71134,https://lh3.googleusercontent.com/p/AF1QipObBqObjizwUIyPtMTVa4PYKzMsUENEnq3Ym3os=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Coffee%20Del%20Rey&query_place_id=ChIJA_0lA_wYTIYRa7L9neMRGEk,305
Coffee U,Coffee U,33.1280265,-96.8064228,https://lh3.googleusercontent.com/p/AF1QipNwnbKHUpIJwr7J6FT91jMaiqQgXfklLM8H5QyX=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Coffee%20U&query_place_id=ChIJzf2P7Dw9TIYRXIxpvBqltT4,302
Communion Coffee Shop | Coworking | Event Venue,Communion Coffee Shop | Coworking | Event Venue,32.952435,-96.7362999,https://lh3.googleusercontent.com/p/AF1QipNGAZbCBaJW_o3Hnsd4M-Pirh9UqrFYmk7FCRZU=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Communion%20Coffee%20Shop%20%7C%20Coworking%20%7C%20Event%20Venue&query_place_id=ChIJV8u9NXAfTIYRo8d5Ub7fZfM,926
Corvette Cafe,Corvette Cafe,32.8107692,-96.8460041,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr_1EjetL7eDLzATBD4Ivh4B0U1vGfIjmBAjQg34GvfaglMG67t4kEWfius2_bu1Gzt3B2AYUrrE-J45aRgIf_uODwIKxfgH0SLAKZyiLWNZrHkw5TsAcrxAHf4GCxbW7A4DV0W=w408-h307-k-no,https://www.google.com/maps/search/?api=1&query=Corvette%20Cafe&query_place_id=ChIJLZXZeQ-cToYRmur9y1_H6rc,20
Cream & Crepes Cafe,Cream & Crepes Cafe,32.9491667,-96.7383487,https://lh3.googleusercontent.com/p/AF1QipOFGZD0Dyyj5dyplaglEoKiLLDCMbXf7XI7IgD8=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Cream%20%26%20Crepes%20Cafe&query_place_id=ChIJx4C37oUfTIYRWId-sQOV-u0,498
Crescent Coffee House,Crescent Coffee House,32.9389517,-96.6957686,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPPzHjAzJrBsqchuhYFJCxJT3omk-2AlnYlpKILfbxXipSu16jGCr0BJBJHTriIteYYvADt9hyRikDp-NQbQGa0Fgdw65JD0C504OqFUlar8ZYjUPjZrs-YNWwxYkkOYqQVscSkTKRke4=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Crescent%20Coffee%20House&query_place_id=ChIJKdpUYCsfTIYRutNb67PL1Nw,88
Cultivar Coffee Roasting Co.,Cultivar Coffee Roasting Co.,32.8391169,-96.6976459,https://lh3.googleusercontent.com/p/AF1QipMgsLBZVyWKpLBBSWUaJTB9z5qRvwghh56a4BAo=w408-h326-k-no,https://www.google.com/maps/search/?api=1&query=Cultivar%20Coffee%20Roasting%20Co.&query_place_id=ChIJzxMLPQ6hToYRV-qa0eOFYjs,449
Cuppa Espresso Bar,Cuppa Espresso Bar,32.915657,-96.9832793,https://lh3.googleusercontent.com/p/AF1QipOja1dq3pYBzcUgDo87tDcJ5XwsGSyfhwq8cM27=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Cuppa%20Espresso%20Bar&query_place_id=ChIJcynCH70pTIYR82JhjbN20PA,587
DeRa Coffee,DeRa Coffee,33.0327705,-96.6474012,https://lh3.googleusercontent.com/p/AF1QipOu1aqhNoRFW01pUm6zEfIVfpR8ICE0sNXmIVQd=w408-h247-k-no,https://www.google.com/maps/search/?api=1&query=DeRa%20Coffee&query_place_id=ChIJ4zPVE1YbTIYRQ7AQykHq4GA,664
Drip Coffee,Drip Coffee,32.8159419,-96.8018461,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npvYozidpZbdviyX7umzF9hDvdZi9QNEZxuyw_5FCiQnKuuCqpGPxYzzHdKZav8i7BextrvHRPqNeOqqKjWqJ6tqcr4qpamkO7gnO3cikpwWpNnDA0hIItJsNDascGQ5FArDqKn=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Drip%20Coffee&query_place_id=ChIJDU-swFKfToYRXo9MjK7lwtU,123
Dubs Tea N' Eats,Dubs Tea N' Eats,33.0399863,-96.734319,https://lh3.googleusercontent.com/p/AF1QipN1c0bVTVhh4RwLrE1baOe4sjvDiBvn8gTToiB7=w408-h271-k-no,https://www.google.com/maps/search/?api=1&query=Dubs%20Tea%20N'%20Eats&query_place_id=ChIJoaWWHYMiTIYRcBob-EpDneQ,171
Dunkin',Dunkin',32.8141779,-96.8394271,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqY5XFJkQEWUnCXskp6LE3xXrNWHFd1qszjIf36SEVhL6VpwZiJkiOQGTdM-IQmp8OtPNd4puPdIyMpY8-SR0aCg4asl2B3UFjtNvMTshM0Llhuu0-Vmj6QnTf2Bn1M1ELBWzz0=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Dunkin'&query_place_id=ChIJwTvoPACdToYRxDC_Hyo9GqA,115
Dutch Bros Coffee,Dutch Bros Coffee,32.9622846,-96.7487164,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrrbdDo6kdJ71sw15zZobZEtCV0v9C08Mo92qhuGZHpKxZKC1jNPh6KuJgce1DBOq4wx_lyGi50x1lGw_quEBkP_LiM4e3MSBVR-M1C6xe2Jy8GXl9OepP8fsecWp4mfs6J61md=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Dutch%20Bros%20Coffee&query_place_id=ChIJKbjNGKEfTIYRQnTjMWC017E,578
Eiland Coffee at Canyon Creek,Eiland Coffee at Canyon Creek,32.9923105,-96.7273845,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJWygEWwwmE7lzdnHr5y_GYOAIZ3c_xFR6jtTBdXY3UqUuf0SZD55BHDf8SZhP8VkZmdJGguyUruawGhZMrgOl2wsvJNEO0zMCJv75YEoxqeXw1sZ0AUQx8NPge5L20oSC43l6TQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Eiland%20Coffee%20at%20Canyon%20Creek&query_place_id=ChIJ_Uu47wYZTIYR24aT-oNPs8I,293
Eiland Coffee Roasters,Eiland Coffee Roasters,32.9574731,-96.7272071,https://lh3.googleusercontent.com/p/AF1QipMCQ8kBNdL_n4RHpcnTbOe3NUPUeHPLZum0jLX4=w408-h271-k-no,https://www.google.com/maps/search/?api=1&query=Eiland%20Coffee%20Roasters&query_place_id=ChIJKYSrJRMfTIYRaoPeWj99FkA,302
Elevated Coffee & Tea,Elevated Coffee & Tea,33.001521,-96.7009241,https://lh3.googleusercontent.com/p/AF1QipPOhSMiGF3nUaXbRF5z-EYEWoskGQzneks75P0=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Elevated%20Coffee%20%26%20Tea&query_place_id=ChIJndBnQgAZTIYRTSUoEgLyAn8,168
Escape 360 Cafe,Escape 360 Cafe,33.1349916,-96.7094409,https://lh3.googleusercontent.com/p/AF1QipO-znfg864nJFypwtL3JF_g2umVbmNKj0Beqdw8=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Escape%20360%20Cafe&query_place_id=ChIJvQMExSkXTIYRSlVmCaxhzzI,745
Everyday Works,Everyday Works,32.7404638,-96.8563873,https://lh3.googleusercontent.com/p/AF1QipOJGUGDooNGITp3cmbD6mg-NYtM-Yrg-BEVBQji=w408-h611-k-no,https://www.google.com/maps/search/?api=1&query=Everyday%20Works&query_place_id=ChIJkRzr6webToYRcHDXWn0sOVU,227
Fanah Cafe & Pastry,Fanah Cafe & Pastry,32.9466034,-96.7010493,https://lh3.googleusercontent.com/p/AF1QipPSWWuOzQ0rfAyl9bxAO-048vksTLcm8vhTuuEP=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Fanah%20Cafe%20%26%20Pastry&query_place_id=ChIJ_WEoyBYfTIYRLnIp74Z_esE,158
GEORGE | COFFEE + PROVISIONS,GEORGE | COFFEE + PROVISIONS,32.9537424,-97.0063914,https://lh3.googleusercontent.com/p/AF1QipN6EnLVZmYncqpKPJoJl0O3ynnn6VX5tZwee_7e=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=GEORGE%20%7C%20COFFEE%20%2B%20PROVISIONS&query_place_id=ChIJGwJCe18pTIYRmaFMg7XjOhs,1134
Gubbio's Coffee & More,Gubbio's Coffee & More,33.1761376,-96.8136004,https://lh3.googleusercontent.com/p/AF1QipNN8N3Yb1kD981zDMO_mTU4Gl4X80is3ttdH3o4=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Gubbio's%20Coffee%20%26%20More&query_place_id=ChIJI9XTPgA_TIYRGMU-0AuYcf0,42
Haraz Coffee House,Haraz Coffee House,33.0135915,-96.6505627,https://lh3.googleusercontent.com/p/AF1QipNhs8semlxzjlm9VAicUrQ3vPkOoxkADJIDgJYr=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Haraz%20Coffee%20House&query_place_id=ChIJM1AL2EsbTIYRR6UHpH4Ohx0,737
Heritage Coffee,Heritage Coffee,33.149718,-96.8209479,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq6ZyUFRt_TDQ3TDp34xVj5LTqL0zYbT6rTQKfAV0aQwlc4tGpS8xjy6gzO3nr2df6vjAFU-dDyUNLxYzHt5ie26ZP14tDW648rAPMrq0llyWBIVWcxu8rtkt0ltBPhAJlO3a7FoQ=w408-h725-k-no,https://www.google.com/maps/search/?api=1&query=Heritage%20Coffee&query_place_id=ChIJdUJK6Us9TIYRXrhILclaKqE,101
Hola Cafe Dallas,Hola Cafe Dallas,32.7486572,-96.8377468,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDiBc4Crm9oM4g5zMfZLkAiKVSA8nvPdIxAnj84sboMkTWYCclDkslqRjz8dM_4UxPnnHu5LwDxCp1RgpDyAfZwrNoB-8T9nZL08sMRItoZD9VWHQjSIQ-sf6_ZYjUOSEV_uU=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Hola%20Cafe%20Dallas&query_place_id=ChIJzcg32IKbToYRPSPYHJ3Equs,376
Houndstooth Coffee,Houndstooth Coffee,32.8808891,-96.7692488,https://lh3.googleusercontent.com/p/AF1QipPkb2s9OlKENs9aY1BCd-r8DkYHLFLS3_PgBr0i=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Houndstooth%20Coffee&query_place_id=ChIJMchGuemfToYRe12aRfYwx3c,683
Inspired Brew,Inspired Brew,33.0073341,-96.7959264,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no636xUx_h6p6klfACMPf3IBvtoaMLvhec51ccgYXIFYBovaQGj-JTpgrrQQf59hc3Hbyi0A-r0kI4gnfac6GBT7tWQFc49AeykyBA9rE3ewV18ARx3WyZKehg5_VKgnBpXMrdu=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Inspired%20Brew&query_place_id=ChIJ8du4tqEjTIYRhqQWRfsmlRs,326
JuJu's Coffee,JuJu's Coffee,32.8125933,-96.7621871,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVHLmiESaxd_AP0OO5AMGnWO5XUDuXwfwUj37U9q0HRc1Wsurt2xukxRGvkFy7zg87elM_Q4gw1_ZpZf1d-8Me3yhM0YvPrWu6W2wi2vAMU_l18M8OgbMtOfyPcHHBKVnBz8iZ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=JuJu's%20Coffee&query_place_id=ChIJgx8kXZ-fToYR22t4xhMnLyk,156
Junbi Matcha,Junbi Matcha,32.976213,-96.722638,https://lh3.googleusercontent.com/p/AF1QipPFmS7nZlOqTLs78ld0-VPy6jfeA98qXsajEkWb=w408-h611-k-no,https://www.google.com/maps/search/?api=1&query=Junbi%20Matcha&query_place_id=ChIJj1bwPGcfTIYR3PfZ-cAD46k,293
Karmic Grounds,Karmic Grounds,33.1029443,-96.7997609,https://lh3.googleusercontent.com/p/AF1QipNTmPl9XVeYKEBKabzpP1AX-3vSU8L3AEjOcTcU=w408-h296-k-no,https://www.google.com/maps/search/?api=1&query=Karmic%20Grounds&query_place_id=ChIJJbr8xJA9TIYR_TTDObHP8N4,583
Killer Joe Neighborhood Cafe,Killer Joe Neighborhood Cafe,32.7955642,-96.7637779,https://lh3.googleusercontent.com/p/AF1QipN-dDDAZYIy9_9ti3ocTw93UFfCVlN47NCqNor1=w408-h612-k-no,https://www.google.com/maps/search/?api=1&query=Killer%20Joe%20Neighborhood%20Cafe&query_place_id=ChIJ__I71OmZToYR0iZq_AKUn0k,154
La Casita Coffee,La Casita Coffee,32.8660159,-96.7643565,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noSXCp0ZRGfN-HicZkEqkBO8BBuzgXhBavF-Sbr3CyWea5cUZTHBFHnb3B6CE1Zw7lavkeKAz0mjz4GgidsNjWzj2BKozB2KCdZcKce0FbmPqut0IYfp1Jpcv2cl1b7O2dQAeJdDg=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=La%20Casita%20Coffee&query_place_id=ChIJ25CJs9afToYRIZvjUTtbUzo,445
La Reunion,La Reunion,32.7467062,-96.8284347,https://lh3.googleusercontent.com/p/AF1QipMoDFVk1OzULpIBVBS-GdoL1ieElWb7TEO8VtjR=w427-h240-k-no,https://www.google.com/maps/search/?api=1&query=La%20Reunion&query_place_id=ChIJc-3kskKZToYR-HQN_3Vve6o,476
La Souq,La Souq,32.9500995,-96.7332606,https://lh3.googleusercontent.com/p/AF1QipOEcqVGhd-H4eta1R-LuntPE-gAYa5O75FOczfH=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=La%20Souq&query_place_id=ChIJA3Ws5X0fTIYRS0ym1WwKZgY,204
LDU Coffee To Go,LDU Coffee To Go,32.7989141,-96.8033682,https://lh3.googleusercontent.com/p/AF1QipNPLh8miWHwOkw1DPVloePMOFIzmdUebE34ywju=w408-h305-k-no,https://www.google.com/maps/search/?api=1&query=LDU%20Coffee%20To%20Go&query_place_id=ChIJ466DsNuZToYRADe_fJEVC4s,12
Lemmon Drop Coffee Shop Dallas,Lemmon Drop Coffee Shop Dallas,32.8121303,-96.7837049,https://lh3.googleusercontent.com/p/AF1QipNNhEt1Eqbd6qc2-fBofOKnlhh_ZpTwByEi1ad5=w408-h503-k-no,https://www.google.com/maps/search/?api=1&query=Lemmon%20Drop%20Coffee%20Shop%20Dallas&query_place_id=ChIJiQhrH-KfToYRRVPNKuf6Ths,27
Liberation Coffee Co.,Liberation Coffee Co.,32.886321,-96.9610612,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCoB8Fym0J4UfG5XvpafcVO1LDG4uapWMTcUzbYcTORuKgh8zbTNGG8TVvM9BFptjuNi5e4C-5qtWr6MEgoShWCi59spd2lqhQhmRiLBv4SbcJsXIyaIRrH8NSq8f3cZLapNMw=w408-h407-k-no,https://www.google.com/maps/search/?api=1&query=Liberation%20Coffee%20Co.&query_place_id=ChIJDX4aMCspTIYR7fYLzhQxYrs,18
Local Jonny's,Local Jonny's,32.9548048,-96.81222,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no2eEu1EpW0i0l_aBVO5I0aasZ2FRwa6vtQYyqbeZD_XJUhH6vp8Euk6tXp1ejsp6sDR0MtcqaWJu0vtUQBSnlI1ubRUp0QUvfCuR_uFuCB-G7sQ1KoDlyLzXZ_rob3Dmf4zCODdw=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Local%20Jonny's&query_place_id=ChIJQ8zKKukhTIYRYrLRUm6tDDQ,143
Magic Cup,Magic Cup,32.958639,-96.683123,https://lh3.googleusercontent.com/p/AF1QipN52XiXmYeGjX0DlySHJeMP1e5Gj6b49X9qfMpx=w408-h263-k-no,https://www.google.com/maps/search/?api=1&query=Magic%20Cup&query_place_id=ChIJwd2E8pIeTIYRuxaH_3rZjjU,1247
Magnolias Sous Le Pont,Magnolias Sous Le Pont,32.7933618,-96.8077473,https://lh3.googleusercontent.com/p/AF1QipNyBigCgSdb4AVy0m3rFR58NadVM9oDAVhzraOf=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Magnolias%20Sous%20Le%20Pont&query_place_id=ChIJiWgErzCZToYRHTH2Is7OA50,760
Merit Coffee,Merit Coffee,32.8203903,-96.8020312,https://lh3.googleusercontent.com/p/AF1QipNzfP9gwp1fuiTsAqUwN4wilBZRsE_ylJ8OYD1h=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Merit%20Coffee&query_place_id=ChIJUdl46zCfToYRcdX9CA1134I,239
